,Bassin_emploi,Compagny,Contrat,Date,Date_scrap,Location,Poste,Resume,Salary,_id
0,Ile-de-France,MOTION4EVER,Stage,,"12/03/2019, 08:50:55",carquefou,Dev,"CDIl’Agence Motion4ever de Nantes recherche un Développeur back end PHPRattaché(e) au Responsable Technique et de l'équipe de direction artistique, vous interviendrez au sein d’une équipe à taille humaine composée d’une vingtaine de personnes aux compétences complémentaires (développeurs full stack, lead technique, designer UX).Curieux, vous avez soif d’apprendre de nouvelles choses : ce que vous ne connaissez pas, vous l’apprenez en un temps record. Doté d’un bon relationnel vous êtes à l’aise pour communiquer avec vos collègues, développeurs et chefs de projet.Développeur orienté back-end, vous êtes capable de faire un minimum de front-end quand c’est nécessaire.Culture qualité : capacité à livrer du code testé, de qualité, Réactivité, Jamais à court de solution Volonté d’avancer et d’apprendreVos principales missions seront : Mise en œuvre de sites internetMaintenance et ajout de nouvelles fonctionnalités sur nos plateformes PHPParticipation aux phases de définition de projet, de tests et de réglages après livraisonMise en place de flux d’échanges avec les clients (API, webservices, flux csv/excel,)Force de proposition, vous contribuez à l'innovation et à la conception de nouveaux projets de développement.Aider le lead developer à mettre en place l’organisation du développement (GIT, best practices, test unitaire, documentation, etc)Qualifications et compétences : Très bonne connaissance PHPTrès bonne connaissance de PHP et de la Programmation Orientée Objet Connaissance requise du Framework SYMFONYMise en œuvre requise de tests unitaires (PHPUnit) dans un cadre professionnel - Maîtriser de GitBonne Connaissance de MySQL- Une bonne approche de Google AnalyticsType d'emploi : CDI",,5c8764df62669d0f84099342
1,bordeaux,DONE,Stage,,"12/03/2019, 08:50:55",bordeaux,Dev,"CDILe projetJeune Startup de 2018, nous développons une solution de messagerie professionnelle du même nom pour aider à la productivité. En plus d'un messenger nous souhaitons offrir à nos utilisateurs un certain nombre de fonctionnalités tel que la gestion de to-do ou l'aide à la prise de rendez-vous et ce, sans besoin d'outils externes tiers.Nous avons mis en place les premières briques techniques en 2018 et souhaitons agrandir l'équipe en 2019 pour développer la solution -- pour cela nous recrutons.L'équipeGilles Raymond CEO (CEO), Sylvain Chaussard (Directeur Produit), Laurent Lecigne (dev back), Marc Tonnes (dev back), Iban Hatchondo (dev iOS natif), Mathieu Leddet (CTO), Louis Farin (dev Android natif).Le posteDévelopper l'application Android ""Done"" en binôme avec LouisL'application est en Kotlin. Sa particularité -- à l'image de Whatsapp, FB Messenger ou encore Skype -- réside dans la gestion de la concurrence et le stockage des données sur le téléphone. L'application envoie des messages tout en écoutant les messages entrant sur le réseaux. Lorsque l'application n'est pas connectée, elle doit traiter les messages à l'aide des notifications. Aussi, l'application doit garantir l'intégrité des données à tout moment.Profil recherché- 3 ans d'expérience en dev Android natif (kotlin/Java)- Maitrise des notifications (notification service extension)- Room- RX- Dagger- Crashlytics- Git, CI, tests- Déploiement et monitoring d'une application Android en productionLes points fortsContrat Cadre CDIProjet d'envergure : direct à l'international !Un veritable projet tech avec des problématiques de disponibilité, de qualité de service, de mise à l'échelle, de sécurité -- les défis ne manquent pas !L'équipe Done est composée à 80% de développeursDes valeurs fortes sur la protection de donnéesBonus sur objectif d'entrepriseBureaux dans Bordeaux, près de la place de la VictoirePossibilité de travail à distance ponctuellementMutuelle d'entrepriseRémunération selon profil.Type d'emploi : Temps plein, CDIExpérience:developpement Android natif: 2 ans (Souhaité)Dagger: 1 an (Souhaité)RXjava: 1 an (Souhaité)Kotlin: 1 an (Souhaité)Room: 1 an (Souhaité)Langue:Français (Souhaité)Anglais (Souhaité)",,5c8764df62669d0f84099343
2,Ile-de-France,Capgemini,CDI,,"12/03/2019, 08:50:55",hauts,Dev,"Description de l'entreprise
Capgemini est un leader mondial du conseil, des services informatiques et de la transformation numérique. A la pointe de l’innovation, le Groupe aide ses clients à saisir l’ensemble des opportunités que présentent le cloud, le digital et les plateformes. Fort de 50 ans d’expérience et d’une grande expertise des différents secteurs d’activité, il accompagne les entreprises et organisations dans la réalisation de leurs ambitions, de la définition de leur stratégie à la mise en œuvre de leurs opérations. Pour Capgemini, ce sont les hommes et les femmes qui donnent toute sa valeur à la technologie. Résolument multiculturel, le Groupe compte 200 000 collaborateurs présents dans plus de 40 pays. Il a réalisé un chiffre d'affaires de 12,8 milliards d'euros en 2017.
Description de la mission
Intégré(e) au sein de notre Pôle d'Excellence Insights & Data, déployé au niveau mondial et qui représente aujourd'hui 10 000 consultants dans le monde, vous participerez à aider nos clients à construire ou à transformer leur stratégie de gestion de l'information et évoluerez au sein d'un marché passionnant, innovant et en pleine expansion.

En tant que Consultant(e), vous intégrez une équipe projet BI, Big Data ou Data Gouvernance pour des clients intervenant dans des secteurs d'activités divers (industries, télécommunications, retail, finance, public, etc.).

Au sein de cette équipe, et sous la responsabilité d'un chef de projet, vos principales missions sont les suivantes:
mener les analyses fonctionnelles destinées à traduire les besoins du client;contribuer aux travaux de conception et de modélisation ;développer la solution;organiser et préparer les travaux de recette utilisateurs ;mettre en place les processus d'industrialisation.
Profil
De formation Bac +5, vous bénéficiez d'une expérience réussie en Big Data ou en BI.
Vous avez une bonne maitrise du SQL ainsi que des modes d'alimentation et d'extraction sous Informatica. Vous disposez d'une connaissance des concepts clés et des méthodologies de la Business Intelligence, sur d'autres outils BI, ETL (Stambia, …) et de restitution (BO, SSRS, Cognos, Quilk, tableaux Software …).

Vous êtes doté(e) d'un bon relationnel, faites preuve de rigueur et avez le sens du service. Vous maîtrisez l'anglais et êtes mobile en France et à l'étranger pour des missions.",,5c8764e062669d0f84099344
3,lyon,Störk-Tronic France Sarl,CDI,,"12/03/2019, 08:50:55",lyon,Dev,"Développeur de logiciels (h/f/d) JavaScriptNous recherchons des esprits intelligents et agiles, avec lesquels nous pouvons aborder les sujets du futur ! En tant qu'entreprise familiale de taille moyenne dans le domaine des technologies de mesure, de contrôle et de régulation, nous recherchons de nouveaux collaborateurs pour le site de Stuttgart, qui souhaitent faire la différence avec nous.Vos avantages avec Störk-Tronic : Hiérarchies horizontales et processus de décision rapidesDes événements d'équipe réguliers comme des tournois de football de table ou des événements sportifsLes événements pour les employés tels que la fête d'été et la fête de Noël font partie intégrante du calendrier des événements à Störk-TronicParking et les transports en commun sont disponiblesCe qui vous attend ici : Vous développez des applications Web à l'aide de ReactJSVous programmez et mettez en application des interfaces webVous assumez la responsabilité du projet et effectuez des mesures de testIls documentent leurs projets et travaillent en étroite collaboration avec le développement et la vente de produitsVous augmentez l'expansion des produits et les optimisez constammentCe que vous apportez : Diplôme en informatique ou équivalent(Première) expérience professionnelle en tant que développeur de logicielsUne expertise JavaScript prononcée est requiseUne manipulation sûre de ReactJS est nécessaireSavoir-faire des protocoles réseau tels que HTTP, WebSockets et RPCBonne connaissance RESTLes connaissances de base de Java, C ++, Docker, Cassandra et Amazon AWS sont appréciéesExpérience avec les outils de développement connusBonne compréhension et esprit d´analyseTravail indépendant et travail en équipeFrançais et Allemand courantType d'emploi : Temps pleinLangue:allemand (Requis)Anglais (Requis)",,5c8764e062669d0f84099345
4,montpellier,ADAPT,CDI,,"12/03/2019, 08:50:55",montpellier,Dev,"26 000 € - 30 000 € par anCDIAu sein d'une équipe à taille humaine, vous participez au développement Backend / Frontend sur nos différents projets.Vos missions :- Développement de nouvelles fonctionnalités.- Participation à l'évolution de la plateforme technique.- Participer à la maintenance et collaborer avec l'équipe web, dév et support.- Améliorer continuellement le code et l'architecture existante.- Prendre en charge les demandes d'évolution ainsi que les corrections des bugs.Vous aimerez :- Rejoindre une société dynamique, humaine et ambitieuse- Une équipe passionnée et technophile (stack technique: PHP / Laravel / jQuery / Javascript / VueJs, Quasar-framework...)- Les nombreux challenges techniquesCompétences techniques PHP / 5.4 / 7, MySQL, jQuery, Javascript (Connaissance Laravel est un plus)Profil : Passionné par le monde du web, vous justifiez d'une expérience significative en tant que Développeur PHP. Autonome et rigoureux, la qualité du code est essentielle pour vous. De nature curieuse et ouverte, vous avez le goût du travail en équipe et la volonté de vous investir au sein d'une société en pleine croissance.Formation(s) exigée(s) : Bac +2Nous faire parvenir CV + Lettre de motivation ainsi que vos disponibilités.Poste à pourvoir immédiatement si vous êtes disponibleRémunération selon profil et expérience.Type d'emploi : CDISalaire : 26 000,00€ à 30 000,00€ /anType d'emploi : CDISalaire : 26 000,00€ à 30 000,00€ /anExpérience:développement web: 1 an (Souhaité)",28000.0,5c8764e062669d0f84099346
5,bordeaux,DONE,CDI,,"12/03/2019, 08:50:57",bordeaux,Dev,"CDILa Mission: Concevoir, développer et maintenir une application web fortement connectée en JS.Le bon profil: Expert en Javascript, Le vanilla JS ne te fait pas peur.Tu maitrises reactJS/redux mais tu veux aller plus loin et monter en compétences sur IndexedDB, les web workers, les notifications push pour le web, Electron, l'intégration continue...Cette application aura une forte connectivité notamment via Websockets. Une bonne gestion de la concurrence du fait des nombreux évènements reçus et envoyés est indispensable.Par ailleurs, tu es super à l'aise avec HTML/CSS : montage d'écrans, animations...L'équipe: On est 5 à la tech : 2 dev back (erlang, mnesia, postgresql, Debian, REST, tcp), 1 dev iOS (swift, objectiveC), 1 dev Android (kotlin, java) et un directeur technique.En plus de l'équipe tech, on a Gilles Raymond aux commandes de la boîte et Sylvain Chaussard aux commandes du produit.Le produit: On conçoit une app de messagerie instantanée pour les PROs -- communiquer, partager, planifier, collaborer, agir.C'est une app mobile -- natif iOS et Android -- et web/desktop.Nos bureauxsont situés à Bordeaux, près de la Place de la Victoire.CDI temps plein, Début de contrat ASAP.https://do.neReactJ, React.js, JS, Redux, IndexedDB, Push, Javascript, Git, Agile, ScrumType d'emploi : Temps plein, CDIType d'emploi : Temps plein, CDIExpérience:SQL: 1 an (Souhaité)IndexedDB: 1 an (Souhaité)Javascript: 1 an (Souhaité)Electron: 1 an (Souhaité)ReactJS: 1 an (Souhaité)Redux: 1 an (Souhaité)Langue:Français (Souhaité)Anglais (Souhaité)",,5c8764e162669d0f84099347
6,Ile-de-France,SYDO,Stage,,"12/03/2019, 08:50:57",er,Dev,"CDISydo, société de conseil en pédagogie basée à Lyon, est à la recherche d’une développeuse ou d’un développeur pas comme les autres ! Sydo crée notamment de nombreux outils pédagogiques sous forme de vidéos, de jeux interactifs et d’e-learnings.Voici le détail de ce poste, revu et corrigé par notre comité anti-bullshit.Nous cherchons donc une développeuse ou un développeur touche à tout, qui n’a pas peur de s’attaquer à des technos très variées et qui a une solide culture des jeux.Tu travailleras avec l’aide d’une développeuse junior de grande qualité qui sera ravie de t’aider à mettre en œuvre les projets les plus fous !Tu es encore là ? Félicitations, tu as du cran et on aime ça !Ta future mission se déroulera donc selon 2 axes :Développements récurrentsOn a déjà développé quelques solutions en interne qui fonctionnent (bien), que nos clients adorent et qu’il faudra donc personnaliser et déployer régulièrement. Il s’agit de petits modules interactifs pédagogiques en HTML5 ou avec Unity (par extension tu vas bosser avec du CSS, du JavaScript et de chouettes bibliothèques d’animation). Il te faudra donc :- T’approprier ces outils.- Travailler avec les consultants en avant-vente pour préconiser les outils / mécanismes de jeux les plus pertinents, et surtout identifier les contraintes techniques de nos clients.- Savoir exprimer tes besoins et tes contraintes dans un cahier des charges précis à destination de tes collègues illustrateurs.- Faire vivre ces outils en les maintenant à jour ou en trouvant des solutions pour améliorer le process de production par exemple.- Déployer les outils dans des environnements client parfois hétérogènes bordéliques.Projets de recherche et prototypesUn client a une demande inédite farfelue? Au cours de tes nombreuses heures de veille procrastination sur internet, tu as découvert une nouvelle techno qui te semble intéressante pour servir la pédagogie ? Sydo te donne la possibilité de mener des projets de recherche en mode agile (quand tes projets récurrents et tes collègues te laissent un peu tranquille) qui permettront de tester les produits Sydo de demain.Grâce à l’aide de nos talentueux illustrateurs, tu pourras créer des prototypes qui, si tes collègues les valident, pourront devenir les futurs produits phares de Sydo. A titre d’exemple, nous avons développé des prototypes en Angular 2, en réalité virtuelle, en réalité augmentée... il n’y a aucune obligation de résultat tant que cela n’interfère pas avec tes projets clients et que l’outil peut être intéressant pour nous et/ou nos clients !On ne va pas te mentir, ce poste est un gros challenge ! Ton côté dev te permettra de découvrir de nouveaux outils et d’expérimenter des technos innovantes. Avec le soutien des illustrateurs, ton code va prendre une toute autre dimension ! Ton côté geek fera de toi une sorte de divinité adulée par tes collègues, les yeux remplis d’étoiles et ça... ça n’a pas de prix !!!Type d'emploi : Temps plein, CDIExpérience:développeur learning game ou similaire: 3 ans (Requis)Formation:Bac +5 (Master / MBA) (Souhaité)Lieu:Lyon 1er (69) (Requis)",,5c8764e162669d0f84099348
7,Ile-de-France,Capgemini,Stage,,"12/03/2019, 08:50:57",paris,Dev,"Description de l'entreprise
Capgemini est l'un des leaders mondiaux du Conseil, des Services informatiques et de l'Infogérance. En 2016, le Groupe a réalisé un chiffre d'affaires de 12,5 milliards d'euros et emploie aujourd'hui plus de 193 000 collaborateurs dans plus de 44 pays.
Le groupe Capgemini est signataire de la Charte de la diversité en entreprise.
Description de la mission
Vous pensez connaître Capgemini… mais connaissez-vous Capgemini DCX ?

En combinant l'agilité, la créativité et la proximité d'une agence digitale, à l'expertise d'intégration et à l'échelle d'une grande ESN internationale, nous avons réuni le meilleur des deux mondes au sein de Capgemini DCX (Digital Customer eXperience), pour manager la complexité digitale de bout en bout et répondre aux nouvelles attentes des clients de nos clients.

Nos consultants sont des artisans de l'Expérience client, passionnés de Marketing, de CRM, d'innovation appliquée, d'UX, de Design, de Commerce ou encore de mobile. En cultivant le gout de l'excellence technologique et de la réussite en équipe, ils accompagnent au quotidien les plus grands comptes dans tous les secteurs d'activités, et contribuent à réinventer jour après jour les expériences quotidiennes de millions de consommateurs, utilisateurs ou usagers.

Au sein de Capgemini DCX, nous avons la conviction que les réponses aux enjeux des projets digitaux sont dans la collaboration et l'interconnexion.
Nous créons donc des connexions extraordinaires qui créent des résultats extraordinaires.

Etre Développeur FullStack H/F chez Capgemini DCX, c'est :
Participer à des projets Agiles et « User Centric »Analyser le besoin avec les équipes métiersConcevoir et contribuer à la mise en œuvre des spécifications fonctionnelles/techniques et designer les nouveaux écrans,Développer de nouvelles fonctionnalités front (sous HTML5 / CSS3, JavaScript, Angular JS) et back (Java, NodeJS…)Rédiger et exécuter les tests associés aux user storiesProposer des améliorations sur la performance, l'ergonomieAccompagner nos clients
Profil
De formation informatique avec une expérience professionnelle de 3 ans minimum, vous avez une solide connaissance autant sur le back que le front, vous êtes sensible à l'agilité et à la valeur utilisateur des produits que vous délivrez.
Votre goût du travail en équipe et votre excellente communication vous permettent d'être un vrai leader d'équipe, vous faites également preuve d'une forte capacité d'analyse et de synthèse.

En rejoignant Capgemini DCX, nous vous proposons de :
– Développer vos connaissances et d'acquérir de nouvelles compétences techniques et méthodologiques ;
– Construire votre carrière grâce notre programme de développement professionnel.
Pour vivre et construire l'aventure DCX à nos côtés, postulez donc sans plus attendre !",,5c8764e162669d0f84099349
8,nantes,Accenture,CDI,,"12/03/2019, 08:50:57",nantes,Dev,"Rejoignez le centre de service d’Accenture Technology à Nantes !


Vous serez intégré(e) dans une équipe de développeurs(ses) JAVA/JEE en charge du développement et de la maintenance d’applications pour nos clients.
Coaché(e) par un chef de projet, votre rôle sera de :

Développer et tester les modules de programme conformément aux spécifications.
Contribuer à la conception technique d'applications.
Assurer la maintenance, le réglage et l'évolution des logiciels.
Vous serez amené(e) à travailler sur des #ProjetsSupersInterressants par exemple sur une application mobile pour un grand constructeur automobile, sur une application de gestion pour un grand assureur, sur un chatbot pour un acteur majeur de l’énergie, … .


Pourquoi nous rejoindre ?
Un centre de service facilement accessible en transport en commun, où plus de 95% de nos collaborateurs travaillent sur site (#theplacetobe).
Un parcours d’intégration convivial : une journée d’accueil, un parrain sur qui vous pouvez compter durant vos premières semaines chez Accenture, un conseiller de carrière qui vous suivra tout au long de votre parcours chez nous, une évolution basée sur la performance individuelle.
Une entreprise où il fait bon vivre : afterworks, tournois de babyfoot, un jardin connecté sur notre toit, … .
Un accès aux nouvelles technologies grâce à notre Liquid Studio, lieu d’idéation et d’innovation (Intelligence Artificielle, Blockchain, IoT, Réalité Virtuelle, …).
Nous sommes également fiers de notre politique RSE notamment via nos programmes sur la diversité (handicap, LGBT, parentalité, Equals avec une volonté forte d’arriver à la parité homme/femme dans les prochaines années). Vous pourrez participer de manière concrète à nos missions sociales et solidaires (congés solidaires, mission de conseils auprès d’associations, coaching d’étudiants issus de milieu défavorisé, …).

Profil recherché :

Vous êtes jeune diplômé(e) issu(e) d’une formation informatique OU vous avez une expérience significative (de 2 à 6 ans) sur le développement JAVA/JEE.
La connaissance/maîtrise des outils/frameworks Spring, Angular, NodeJs serait un plus.
Vous êtes passionné(e) par les technologies innovantes, vous faites preuve d’une bonne capacité d’adaptation.
Vous êtes organisé(e).
Vous avez un bon relationnel et avez démontré de bonnes capacités de communication.",,5c8764e162669d0f8409934a
9,Ile-de-France,Groupe Lexom,Stage,,"12/03/2019, 08:50:57",juvignac,Dev,"25 000 € - 30 000 € par anCDIAu sein du Groupe Lexom, Organisme de Formation, tu intégreras une équipe jeune et dynamique en tant que développeur PHP Full Stack.Notre service SI a beaucoup de challenges à relever cette année et notamment la mise en ligne de nouvelles interfaces clients novatrices.Tes principales missions seront :Faire des lignes de code ;)Participer à la rédaction de cahier des chargesDévelopper des outils internesGestion du portefeuille d’applications déjà en productionGestion des demandes de nouvelles interfaces (étude, faisabilité et mise en place)Innovation, R&DNotre environnement technique :Front : HTML5 - CSS3 - JSBack : PHP ZendDB : MySQLServeur : Ubuntu Server 12.04 ""Precise Pangolin"" LTSVersionning : GitTon profil :Formation Bac+3 à Bac+4/5 en informatiqueAutonomeBienveillant, Dynamique et RigoureuxDes connaissances en dev mobile serait un plusEnvie d’apprendre, curieux et motivéSi le coeur t’en dis, ton poste pourra rapidement évoluer car nous souhaitons structurer notre service SI de manière à être plus réactif sur l’année en cours et à venir.Nous avons pour objectif à court et moyen terme, de réunir un groupe de personnes passionnées où chacun apportera sa pierre à l’édifice.A la place de te décrire notre groupe, tu peux aller consulter notre site internetwww.groupe-lexom.frpour en savoir plus sur ce que nous faisons et comment nous le faisons.Le monde de la formation professionnelle est en pleine mutation et nous souhaitons être leader dans ce domaine en offrant à nos utilisateurs un mode de consommation de la formation plus simple et intuitif.Si le goût de l’aventure en équipe te convient et que tu souhaites t’épanouir dans ton job, nous t’attendons pour monter à bord mais comme on dit dans H2G2 :Nous vivons dans une galaxie dangereuse ... Tu auras besoin de ta serviette.Type d'emploi : CDISalaire : 25 000,00€ à 30 000,00€ /anExpérience:développement web: 2 ans (Requis)",27500.0,5c8764e162669d0f8409934b
10,toulouse,Open,CDI,,"12/03/2019, 08:50:57",toulouse,Dev,"Rejoignez les équipes d’Open* pour concevoir et intégrer les solutions innovantes de demain !
Nous accompagnons au quotidien les entreprises et les organisations dans leurs enjeux de transformation industrielle et digitale. Notre ambition : le faire avec vous.
Parce que l’humain est au cœur de notre stratégie, nous pouvons offrir à chacun un cadre professionnel stimulant, collaboratif et ouvert sur l'avenir.
Parce que votre talent mérite notre engagement, créons ensemble la différence !
Pour notre centre de production de Toulouse, dans le cadre de projets à forte valeur ajoutée sur nos activités Banque / Santé / Télécom / Secteur Public et Industrie, nous recherchons :
Responsable Business Intelligence H/F
Dans ce cadre, vos principales missions sont les suivantes :
Piloter les avant-ventes Business Intelligence,
Piloter un ou plusieurs projets de Business Intelligence et encadrer les équipes de production,
Participer aux phases de conception des projets Business Intelligence de grande ampleur,
Apporter un soutien technique et fonctionnel aux collaborateurs de l’équipe,
Piloter les sous-traitants du domaine BI,
Maintenir l’expertise sur les outils, notamment par le biais de la veille technologique et en vous appuyant sur les collaborateurs de l’équipe.
Profil souhaité
De formation Bac +4/5 de type universitaire ou ingénieur, vous avez impérativement une expérience minimum de 5 ans en Business intelligence, sur différents outils (reporting, ETL, visualisation de données, élaboration budgétaire…).
La bonne connaissance de plusieurs outils voire l’expertise sur certaines plateformes est également un véritable atout.
La maîtrise des différents métiers de l’entreprise (Finance, Marketing, Ventes, Supply Chain, Ressources Humaines…) est importante.
Vous avez un anglais professionnel vous permettant d’échanger si besoin avec certains de nos clients.
Ce projet vous intéresse et vous pensez avoir les compétences techniques et humaines pour le mener à bien ? Venez nous rencontrer !Open, 3775 collaborateurs répartis en France (16 implantations régionales) ainsi qu’au Luxembourg, Pays-Bas et Roumanie.
CODE REC.
ECO13599",,5c8764e162669d0f8409934c
11,bordeaux,Incomm,Stage,11/03/2019,"12/03/2019, 08:50:59",bordeaux,Dev,"24 000 € par anCDIINCOMM recherche pour sadynamique équipe web, un Développeur web - full stack php (h/f) : votre mission consistera a intégrer des sites internet a partir de psd avec notre cms maison ainsi que wordpress, prestsashop etc ; a développer en php/mysql des applications, des outils, aeffectuer des mises a jour pour les sites internet de nos partenaires.Vous interviendrez a tous les stades du développement des applications web : desphases d'analyse et de conception jusqu'aux phases de développement, detests et de deploiements.Vous serez également amené a être en contact téléphonique avec nos clientset divers prestataires externes pour la maintenance des sites et la recherchede solutions.Profil recherché : réactivité, dynamisme, polyvalence, rigueur, méthodologie et souci dudétail, capacités relationnelles et autonomiemaitrise de html, css, php, mysql, phpmyadmin, jquery etc.connaissance des cms prestashop, wordpress, du framework symfony et de photoshop serait unplus.bac + 2 minimum, débutants et autodidactes passionnes acceptesType d'emploi : Temps plein, CDISalaire : 24 000,00€ /anExpérience:développement web: 2 ans (Souhaité)",24000,5c8764e362669d0f8409934d
12,montpellier,Fitnet Manager,Stage,,"12/03/2019, 08:50:59",montpellier,Data Engineer,"45 000 € par anCDIMissions et responsabilitésDéveloppeur(se) confirmé(e) Java : J2EE / Angular 7 / MariaDB / MongoDBVous rejoindrez une équipe studieuse mais décontractée avec laquelle vous serez directement rattaché(e) au directeur techniqueEn relation avec l'équipe technico-commerciale basée à Barcelone, vous contribuez à l'enrichissement fonctionnel de notre solution ERP Fitnet Manager en prenant en charge l'un des nombreux projets de notre roadmap de développementVous participez aux cycles d'amélioration continue de la solution Web et de l'Apps SmartPhone et mettez en œuvre les évolutions de bout en bout en mode Agile : conception/design, réalisation, validation déploiement, refactoringTechnologiesFitnet Manager s'appuie sur les technologies suivantes :Serveur d’Application Web JBossCluster de containers DockerBases de données MariaDB et MongoDBServeur Javascript NodeJSSystème d’Exploitation Linux UbuntuFront Angular 7Backend J2EESecteur d'activitéActeur majeur du Cloud Computing, Business & System Architects édite depuis 2008 la solution Fitnet Manager : orientée gestion de projets et facturation par affaire, cette solution ERP est distribuée en mode SaaS.Fruit de 10 ans de recherche & développement, Fitnet Manager est reconnu pour sa richesse fonctionnelle, sa simplicité d’utilisation et sa rapidité d’implémentation. Cet ERP est devenu une application SaaS de référence pour la gestion des activités de conseil et de services. Fitnet Manager compte plus de 10.000 utilisateurs parmi plus de 200 clients de 7 à 700 collaborateurs dans des secteurs tels que Bancassurances, Consulting, Services, Communication & marketing, Bureaux d’études et d’architecture et des filiales de grands groupes telles que la SNCF, Société Générale ou encore Renault-Nissan.Expérience, formation et compétences souhaitéesDe formation bac +5 d'école d’ingénieur de préférence ou cursus universitaire ,Vous êtes force de propositionVous êtes de capable de mener plusieurs tâches méthodiquement et efficacement, dans les délais impartis et de manière autonomeExcellentes capacités de communicationCapacité à partager l'information avec les membres de l'équipeNous offrons de belles possibilités d'évolution aux personnalités impliquées, responsables et désireuses de se réaliser au plan professionnel.Présentation de l’entreprisePlus d’infos : www.fitnetmanager.com Perspectives de développement : En plein essor et avec une croissance de 50% par an, Business & System Architects cherche à renforcer son équipe technique et son équipe commerciale pour se développer à l'international.Type d'emploi : Temps plein, CDISalaire : 45 000,00€ /anExpérience:ingénieur développeur confirmé java/j2ee/mariadb/angularjs/mongodb h./f. ou similaire: 3 ans (Souhaité)",45000,5c8764e362669d0f8409934e
13,Ile-de-France,Koezio,Stage,11/03/2019,"12/03/2019, 08:50:59",priest,Dev,"L'entreprise
KOEZIO® est un Groupe International qui conçoit et exploite des PARCS D’ATTRACTIONS indoor sur 6000 m2. Chaque parc s’inspire de la thématique d’un « centre d’entraînement pour Agents Secrets » et accueille env. 130 000 visiteurs/an. 30 à 40 collaborateurs passionnés, nos « Agents Instructeurs », composent l’équipe d’un parc et font vivre une expérience unique à nos clients. Nous cultivons l’esprit d’équipe, l’entraide, la cohésion et le FUN en toute sécurité avec un haut niveau de qualité !

Notre entreprise est en plein développement en France et à l’International afin de créer un réseau mondial de parcs KOEZIO®

Nous te proposons aujourd’hui un métier passionnant basé sur les RELATIONS et le COMMERCE : Tu es peut-être notre nouveau « développeur des ventes » …?

Rejoins-nous dans l’aventure !


Description du poste
Tes FUTURES responsabilités chez Koezio® :
Ton métier… ? A l’écoute des besoins pour proposer l'offre adaptée !

Après une période de formation à nos services, produits et méthodes :

Tu développes le CA du Parc, notamment sur la clientèle BtoB (organisation déjeuner découverte, animation réseau local, organisation et participation à des salons professionnels, recommandations clients, pilotage de campagnes d'emailing, animation et prospection Linkedin) et BtoI (emailing, phoning, prospections auprès des collectivités, centres de loisirs animateurs, services jeunesses...)
Tu prends en charge les demandes entrantes des clients BtoB et BtoI
Tu constitues des bases de données ciblées et assure une prospection régulière de nouveaux prospects sur toute la région.
Tu conçois et réalises des actions de fidélisation des clients BtoB
Tu contribues à améliorer nos offres, formules et outils pour développer les ventes du parc.
Tu choisis, organise et anime un réseau de prestataires partenaires (agences événementielles, traiteurs, animations BtoB, DJ...)


Compétences requises

Tu te reconnais dans ce profil :
Tu es diplômé(e) d’une formation à dominante commerciale, tu bénéficies d’une solide expérience dans le développement commercial, idéalement acquise dans le secteur de l’événementiel, hôtellerie, loisirs, tourisme, restauration...

Très bon orateur, tu aimes négocier et argumenter. Ta capacité rédactionnelle est également atout. Méthodique et rigoureux(euse), tu as le sens des responsabilités et de réelles capacités à anticiper et à décider.

A l'esprit ouvert, curieux, hyper dynamique, tu souhaites rejoindre une société innovante et en croissance.

Et bien sûr, tu es sympa, passionné(e), ambitieux(se), malin(e) et tu as de l'humour ! (c'est une valeur essentielle pour travailler chez Koezio)",,5c8764e362669d0f8409934f
